L T,R T,L T-1,R T-1,L T-2,R T-2,L T-3,R T-3,L T-4,R T-4,L T-5,R T-5,L T-6,R T-6,L T-7,R T-7,L T-8,R T-8,L T-9,R T-9,class
0.959559647,0.537867372,0.996545758,0.544818338,0.95923292,0.520805612,0.965146025,0.571667844,0.965146025,0.571667844,0.923076923,0.544818338,0.962307385,0.569616222,0.95923292,0.552408037,0.95923292,0.552408037,1,0.541425519,real
0.996545758,0.544818338,0.95923292,0.520805612,0.965146025,0.571667844,0.965146025,0.571667844,0.923076923,0.544818338,0.962307385,0.569616222,0.95923292,0.552408037,0.95923292,0.552408037,1,0.541425519,0.962557828,0.564829092,real
0.95923292,0.520805612,0.965146025,0.571667844,0.965146025,0.571667844,0.923076923,0.544818338,0.962307385,0.569616222,0.95923292,0.552408037,0.95923292,0.552408037,1,0.541425519,0.962557828,0.564829092,1,0.550425536,real
0.965146025,0.571667844,0.965146025,0.571667844,0.923076923,0.544818338,0.962307385,0.569616222,0.95923292,0.552408037,0.95923292,0.552408037,1,0.541425519,0.962557828,0.564829092,1,0.550425536,1,0.550425536,real
0.965146025,0.571667844,0.923076923,0.544818338,0.962307385,0.569616222,0.95923292,0.552408037,0.95923292,0.552408037,1,0.541425519,0.962557828,0.564829092,1,0.550425536,1,0.550425536,1,0.541425519,real
0.923076923,0.544818338,0.962307385,0.569616222,0.95923292,0.552408037,0.95923292,0.552408037,1,0.541425519,0.962557828,0.564829092,1,0.550425536,1,0.550425536,1,0.541425519,0.962557828,0.564829092,real
0.962307385,0.569616222,0.95923292,0.552408037,0.95923292,0.552408037,1,0.541425519,0.962557828,0.564829092,1,0.550425536,1,0.550425536,1,0.541425519,0.962557828,0.564829092,1,0.564829092,real
0.95923292,0.552408037,0.95923292,0.552408037,1,0.541425519,0.962557828,0.564829092,1,0.550425536,1,0.550425536,1,0.541425519,0.962557828,0.564829092,1,0.564829092,1,0.564829092,real
0.95923292,0.552408037,1,0.541425519,0.962557828,0.564829092,1,0.550425536,1,0.550425536,1,0.541425519,0.962557828,0.564829092,1,0.564829092,1,0.564829092,1,0.52661142,real
1,0.541425519,0.962557828,0.564829092,1,0.550425536,1,0.550425536,1,0.541425519,0.962557828,0.564829092,1,0.564829092,1,0.564829092,1,0.52661142,1,0.564829092,real
0.962557828,0.564829092,1,0.550425536,1,0.550425536,1,0.541425519,0.962557828,0.564829092,1,0.564829092,1,0.564829092,1,0.52661142,1,0.564829092,1,0.562666763,real
1,0.550425536,1,0.550425536,1,0.541425519,0.962557828,0.564829092,1,0.564829092,1,0.564829092,1,0.52661142,1,0.564829092,1,0.562666763,0.920133342,0.543994111,real
1,0.550425536,1,0.541425519,0.962557828,0.564829092,1,0.564829092,1,0.564829092,1,0.52661142,1,0.564829092,1,0.562666763,0.920133342,0.543994111,1,0.543994111,real
1,0.541425519,0.962557828,0.564829092,1,0.564829092,1,0.564829092,1,0.52661142,1,0.564829092,1,0.562666763,0.920133342,0.543994111,1,0.543994111,1,0.543994111,real
0.962557828,0.564829092,1,0.564829092,1,0.564829092,1,0.52661142,1,0.564829092,1,0.562666763,0.920133342,0.543994111,1,0.543994111,1,0.543994111,0.95592526,0.518099259,real
1,0.564829092,1,0.564829092,1,0.52661142,1,0.564829092,1,0.562666763,0.920133342,0.543994111,1,0.543994111,1,0.543994111,0.95592526,0.518099259,0.951831343,0.381058368,real
